Quadrat,Transect,Site,Measurement,Value
2,11,SQ,% Bare,3
3,11,SQ,% Bare,43
4,11,SQ,% Bare,10
5,11,SQ,% Bare,21
1,12,SQ,% Bare,40
2,12,SQ,% Bare,26
3,12,SQ,% Bare,26
5,1,SQ,% Bare,25
4,12,SQ,% Bare,52
5,12,SQ,% Bare,47
1,2,SQ,% Bare,0
2,2,SQ,% Bare,0
3,2,SQ,% Bare,0
4,2,W,% Bare,33
5,2,W,% Bare,0
1,3,W,% Bare,5
2,3,W,% Bare,11
3,3,W,% Bare,48
4,3,W,% Bare,2
5,3,W,% Bare,2
1,4,W,% Bare,75
2,4,W,% Bare,2
3,4,W,% Bare,12
1,1,W,% Bare,5
4,4,W,% Bare,40
5,4,W,% Bare,1
1,5,W,% Bare,0
2,5,W,% Bare,45
3,5,W,% Bare,35
4,5,W,% Bare,54
5,5,W,% Bare,79
1,6,W,% Bare,0
2,6,W,% Bare,17
3,6,W,% Bare,24
2,1,W,% Bare,7
4,6,W,% Bare,95
5,6,W,% Bare,0
1,7,W,% Bare,0
2,7,W,% Bare,90
3,7,W,% Bare,22
4,7,W,% Bare,43
5,7,W,% Bare,28
1,8,W,% Bare,0
2,8,W,% Bare,0
3,8,W,% Bare,5
3,1,W,% Bare,20
4,8,W,% Bare,2
5,8,W,% Bare,90
1,9,W,% Bare,30
2,9,W,% Bare,25
3,9,W,% Bare,23
4,9,W,% Bare,50
5,9,W,% Bare,7
1,10,W,% Bare,27
2,10,W,% Bare,67
3,10,W,% Bare,55
4,1,W,% Bare,55
4,10,W,% Bare,24
5,10,W,% Bare,16
1,11,W,% Bare,4
2,11,W,% Bare,22
3,11,W,% Bare,10
4,11,W,% Bare,67
5,11,W,% Bare,0
1,12,W,% Bare,12
2,12,W,% Bare,0
3,12,W,% Bare,26
5,1,W,% Bare,2
4,12,W,% Bare,3
5,12,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
1,2,W,% Bare,45
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
0,0,W,% Bare,0
2,2,W,% Bare,30
3,2,W,% Bare,3
2,11,EP,% Detritus,35
1,11,EP,% Detritus,5
5,10,EP,% Detritus,20
4,10,EP,% Detritus,35
3,10,EP,% Detritus,90
2,10,EP,% Detritus,15
1,10,EP,% Detritus,0
1,9,EP,% Detritus,0
2,9,EP,% Detritus,85
3,9,EP,% Detritus,0
1,12,EP,% Detritus,3
4,9,EP,% Detritus,64
5,9,EP,% Detritus,69
1,8,EP,% Detritus,16
2,8,EP,% Detritus,12
3,8,EP,% Detritus,0
4,8,EP,% Detritus,94
5,8,EP,% Detritus,100
1,7,EP,% Detritus,19
2,7,EP,% Detritus,100
3,7,EP,% Detritus,100
2,12,EP,% Detritus,60
4,7,EP,% Detritus,70
5,7,EP,% Detritus,100
1,6,EP,% Detritus,0
2,6,EP,% Detritus,0
3,6,EP,% Detritus,95
4,6,EP,% Detritus,98
5,6,EP,% Detritus,89
5,5,EP,% Detritus,0
4,5,EP,% Detritus,97
3,5,EP,% Detritus,0
3,12,EP,% Detritus,65
2,5,EP,% Detritus,91
1,5,EP,% Detritus,0
1,4,EP,% Detritus,40
2,4,EP,% Detritus,2
3,4,EP,% Detritus,22
4,4,EP,% Detritus,40
5,4,EP,% Detritus,6
5,3,EP,% Detritus,0
4,3,EP,% Detritus,22
3,3,EP,% Detritus,20
4,12,EP,% Detritus,60
2,3,EP,% Detritus,18
1,3,EP,% Detritus,5
1,2,EP,% Detritus,6
2,2,EP,% Detritus,85
3,2,EP,% Detritus,100
4,2,EP,% Detritus,0
5,2,EP,% Detritus,100
1,1,EP,% Detritus,15
2,1,EP,% Detritus,28
3,1,EP,% Detritus,100
5,12,EP,% Detritus,90
4,1,EP,% Detritus,88
5,1,EP,% Detritus,0
5,11,EP,% Detritus,30
4,11,EP,% Detritus,60
3,11,EP,% Detritus,30
4,8,GC,% Detritus,10
5,8,GC,% Detritus,80
1,12,GC,% Detritus,12
2,12,GC,% Detritus,8
3,12,GC,% Detritus,39
4,12,GC,% Detritus,0
5,12,GC,% Detritus,65
1,7,GC,% Detritus,26
2,7,GC,% Detritus,9
1,6,GC,% Detritus,68
1,10,GC,% Detritus,42
2,6,GC,% Detritus,40
5,1,GC,% Detritus,50
1,4,GC,% Detritus,30
2,4,GC,% Detritus,16
3,4,GC,% Detritus,100
4,4,GC,% Detritus,85
5,4,GC,% Detritus,100
1,5,GC,% Detritus,45
2,5,GC,% Detritus,12
3,5,GC,% Detritus,18
2,10,GC,% Detritus,23
4,5,GC,% Detritus,14
5,5,GC,% Detritus,65
1,11,GC,% Detritus,19
2,11,GC,% Detritus,10
3,11,GC,% Detritus,63
4,11,GC,% Detritus,78
5,11,GC,% Detritus,98
1,9,GC,% Detritus,31
2,9,GC,% Detritus,2
3,9,GC,% Detritus,0
3,10,GC,% Detritus,10
4,9,GC,% Detritus,0
5,9,GC,% Detritus,0
5,7,GC,% Detritus,60
4,7,GC,% Detritus,0
3,7,GC,% Detritus,0
5,6,GC,% Detritus,30
4,6,GC,% Detritus,18
4,10,GC,% Detritus,75
5,10,GC,% Detritus,90
1,8,GC,% Detritus,52
2,8,GC,% Detritus,100
3,8,GC,% Detritus,28
4,2,Med,% Detritus,25
5,2,Med,% Detritus,40
1,3,Med,% Detritus,65
2,3,Med,% Detritus,100
3,3,Med,% Detritus,80
4,3,Med,% Detritus,100
5,3,Med,% Detritus,50
1,4,Med,% Detritus,30
2,4,Med,% Detritus,0
3,4,Med,% Detritus,20
1,1,Med,% Detritus,30
4,4,Med,% Detritus,5
5,4,Med,% Detritus,70
5,5,Med,% Detritus,30
4,5,Med,% Detritus,50
3,5,Med,% Detritus,25
2,5,Med,% Detritus,40
1,5,Med,% Detritus,52
1,6,Med,% Detritus,25
2,6,Med,% Detritus,15
3,6,Med,% Detritus,30
2,1,Med,% Detritus,19
4,6,Med,% Detritus,45
5,6,Med,% Detritus,100
1,7,Med,% Detritus,2
2,7,Med,% Detritus,60
3,7,Med,% Detritus,3
4,7,Med,% Detritus,5
5,7,Med,% Detritus,100
1,8,Med,% Detritus,5
2,8,Med,% Detritus,100
3,8,Med,% Detritus,100
3,1,Med,% Detritus,65
4,8,Med,% Detritus,95
5,8,Med,% Detritus,100
5,9,Med,% Detritus,0
4,9,Med,% Detritus,40
3,9,Med,% Detritus,27
2,9,Med,% Detritus,0
1,9,Med,% Detritus,5
5,10,Med,% Detritus,90
4,10,Med,% Detritus,91
3,10,Med,% Detritus,65
4,1,Med,% Detritus,7
2,10,Med,% Detritus,44
1,10,Med,% Detritus,3
1,11,Med,% Detritus,8
2,11,Med,% Detritus,85
3,11,Med,% Detritus,100
4,11,Med,% Detritus,100
5,11,Med,% Detritus,100
1,12,Med,% Detritus,6
2,12,Med,% Detritus,0
3,12,Med,% Detritus,15
5,1,Med,% Detritus,100
4,12,Med,% Detritus,100
5,12,Med,% Detritus,100
1,2,Med,% Detritus,35
2,2,Med,% Detritus,61
3,2,Med,% Detritus,2
4,2,N,% Detritus,6
5,2,N,% Detritus,57
1,3,N,% Detritus,0
2,3,N,% Detritus,49
3,3,N,% Detritus,17
4,3,N,% Detritus,92
5,3,N,% Detritus,100
1,4,N,% Detritus,4
2,4,N,% Detritus,41
3,4,N,% Detritus,3
1,1,N,% Detritus,14
4,4,N,% Detritus,11
5,4,N,% Detritus,19
1,5,N,% Detritus,1.5
2,5,N,% Detritus,5
3,5,N,% Detritus,21
4,5,N,% Detritus,22
5,5,N,% Detritus,0
1,6,N,% Detritus,10
2,6,N,% Detritus,80
3,6,N,% Detritus,14
2,1,N,% Detritus,11
4,6,N,% Detritus,75
5,6,N,% Detritus,36
1,7,N,% Detritus,3
2,7,N,% Detritus,43
3,7,N,% Detritus,95
4,7,N,% Detritus,98
5,7,N,% Detritus,32
1,8,N,% Detritus,12
2,8,N,% Detritus,85
3,8,N,% Detritus,80
3,1,N,% Detritus,38
4,8,N,% Detritus,87
5,8,N,% Detritus,17
1,9,N,% Detritus,7
2,9,N,% Detritus,98
3,9,N,% Detritus,68
4,9,N,% Detritus,90
5,9,N,% Detritus,52
1,10,N,% Detritus,2
2,10,N,% Detritus,16
3,10,N,% Detritus,9
4,1,N,% Detritus,46
4,10,N,% Detritus,28
5,10,N,% Detritus,72
1,11,N,% Detritus,8
2,11,N,% Detritus,69
3,11,N,% Detritus,98
4,11,N,% Detritus,91
5,11,N,% Detritus,42
1,12,N,% Detritus,1.6
2,12,N,% Detritus,21
3,12,N,% Detritus,32
5,1,N,% Detritus,12
4,12,N,% Detritus,100
5,12,N,% Detritus,36
1,2,N,% Detritus,0
2,2,N,% Detritus,0
3,2,N,% Detritus,3
4,2,PI,% Detritus,0
5,2,PI,% Detritus,40
1,3,PI,% Detritus,0
2,3,PI,% Detritus,42
3,3,PI,% Detritus,50
4,3,PI,% Detritus,35
5,3,PI,% Detritus,12
1,4,PI,% Detritus,0
2,4,PI,% Detritus,84
3,4,PI,% Detritus,13
1,1,PI,% Detritus,0
4,4,PI,% Detritus,0
5,4,PI,% Detritus,41
1,5,PI,% Detritus,8
2,5,PI,% Detritus,32
3,5,PI,% Detritus,48
4,5,PI,% Detritus,37
5,5,PI,% Detritus,62
1,6,PI,% Detritus,0
2,6,PI,% Detritus,98
3,6,PI,% Detritus,95
2,1,PI,% Detritus,0
4,6,PI,% Detritus,83
5,6,PI,% Detritus,70
1,7,PI,% Detritus,0
2,7,PI,% Detritus,11
3,7,PI,% Detritus,39
4,7,PI,% Detritus,45
5,7,PI,% Detritus,61
1,8,PI,% Detritus,20
2,8,PI,% Detritus,45
3,8,PI,% Detritus,85
3,1,PI,% Detritus,79
4,8,PI,% Detritus,0
5,8,PI,% Detritus,36
1,9,PI,% Detritus,50
2,9,PI,% Detritus,18
3,9,PI,% Detritus,3
4,9,PI,% Detritus,14
5,9,PI,% Detritus,37
1,10,PI,% Detritus,0
2,10,PI,% Detritus,24
3,10,PI,% Detritus,11
4,1,PI,% Detritus,53
4,10,PI,% Detritus,15
5,10,PI,% Detritus,66
1,11,PI,% Detritus,8
2,11,PI,% Detritus,0
3,11,PI,% Detritus,42
4,11,PI,% Detritus,63
5,11,PI,% Detritus,50
1,12,PI,% Detritus,10
2,12,PI,% Detritus,26
3,12,PI,% Detritus,19
5,1,PI,% Detritus,74
4,12,PI,% Detritus,46
5,12,PI,% Detritus,66
1,2,PI,% Detritus,5
2,2,PI,% Detritus,60
3,2,PI,% Detritus,9
4,2,PI15,% Detritus,0
5,2,PI15,% Detritus,40
1,3,PI15,% Detritus,0
2,3,PI15,% Detritus,65
3,3,PI15,% Detritus,62
4,3,PI15,% Detritus,0
5,3,PI15,% Detritus,21
1,4,PI15,% Detritus,0
2,4,PI15,% Detritus,70
3,4,PI15,% Detritus,95
1,1,PI15,% Detritus,0
4,4,PI15,% Detritus,4
5,4,PI15,% Detritus,35
5,5,PI15,% Detritus,0
4,5,PI15,% Detritus,80
3,5,PI15,% Detritus,60
2,5,PI15,% Detritus,15
1,5,PI15,% Detritus,0
1,6,PI15,% Detritus,0
2,6,PI15,% Detritus,26
3,6,PI15,% Detritus,29
2,1,PI15,% Detritus,35
4,6,PI15,% Detritus,13
5,6,PI15,% Detritus,28
1,7,PI15,% Detritus,0
2,7,PI15,% Detritus,15
3,7,PI15,% Detritus,10
4,7,PI15,% Detritus,30
5,7,PI15,% Detritus,67
1,8,PI15,% Detritus,0
2,8,PI15,% Detritus,0
3,8,PI15,% Detritus,19
3,1,PI15,% Detritus,90
4,8,PI15,% Detritus,10
5,8,PI15,% Detritus,63
1,9,PI15,% Detritus,0
2,9,PI15,% Detritus,0
3,9,PI15,% Detritus,0
4,9,PI15,% Detritus,24
5,9,PI15,% Detritus,46
1,10,PI15,% Detritus,17
2,10,PI15,% Detritus,13
3,10,PI15,% Detritus,13
4,1,PI15,% Detritus,85
4,10,PI15,% Detritus,17
5,10,PI15,% Detritus,30
1,11,PI15,% Detritus,11
2,11,PI15,% Detritus,12
3,11,PI15,% Detritus,0
4,11,PI15,% Detritus,10
5,11,PI15,% Detritus,56
1,12,PI15,% Detritus,6
2,12,PI15,% Detritus,4
3,12,PI15,% Detritus,17
5,1,PI15,% Detritus,15
4,12,PI15,% Detritus,26
5,12,PI15,% Detritus,15
1,2,PI15,% Detritus,0
2,2,PI15,% Detritus,10
3,2,PI15,% Detritus,0
4,2,SQ,% Detritus,13
5,2,SQ,% Detritus,25
1,3,SQ,% Detritus,0
2,3,SQ,% Detritus,0
3,3,SQ,% Detritus,0
4,3,SQ,% Detritus,60
5,3,SQ,% Detritus,60
1,4,SQ,% Detritus,1
2,4,SQ,% Detritus,40
3,4,SQ,% Detritus,60
1,1,SQ,% Detritus,0
4,4,SQ,% Detritus,25
5,4,SQ,% Detritus,1
5,5,SQ,% Detritus,6
4,5,SQ,% Detritus,12
3,5,SQ,% Detritus,16
2,5,SQ,% Detritus,28
1,5,SQ,% Detritus,20
1,6,SQ,% Detritus,1
2,6,SQ,% Detritus,70
3,6,SQ,% Detritus,60
2,1,SQ,% Detritus,16
4,6,SQ,% Detritus,50
5,6,SQ,% Detritus,5
1,7,SQ,% Detritus,0
2,7,SQ,% Detritus,55
3,7,SQ,% Detritus,30
4,7,SQ,% Detritus,30
5,7,SQ,% Detritus,15
1,8,SQ,% Detritus,20
2,8,SQ,% Detritus,25
3,8,SQ,% Detritus,35
3,1,SQ,% Detritus,38
4,8,SQ,% Detritus,40
5,8,SQ,% Detritus,30
1,9,SQ,% Detritus,1
2,9,SQ,% Detritus,45
3,9,SQ,% Detritus,30
4,9,SQ,% Detritus,60
5,9,SQ,% Detritus,39
1,10,SQ,% Detritus,0
2,10,SQ,% Detritus,27
3,10,SQ,% Detritus,46
4,1,SQ,% Detritus,38
4,10,SQ,% Detritus,15
5,10,SQ,% Detritus,36
1,11,SQ,% Detritus,5
2,11,SQ,% Detritus,40
3,11,SQ,% Detritus,38
4,11,SQ,% Detritus,28
5,11,SQ,% Detritus,9
1,12,SQ,% Detritus,0
2,12,SQ,% Detritus,48
3,12,SQ,% Detritus,20
5,1,SQ,% Detritus,35
4,12,SQ,% Detritus,20
5,12,SQ,% Detritus,28
1,2,SQ,% Detritus,0
2,2,SQ,% Detritus,0
3,2,SQ,% Detritus,0
4,2,W,% Detritus,0.5
5,2,W,% Detritus,25
1,3,W,% Detritus,1
2,3,W,% Detritus,30
3,3,W,% Detritus,2
4,3,W,% Detritus,15
5,3,W,% Detritus,18
1,4,W,% Detritus,1
2,4,W,% Detritus,2
3,4,W,% Detritus,5
1,1,W,% Detritus,5
4,4,W,% Detritus,0
5,4,W,% Detritus,40
1,5,W,% Detritus,3
2,5,W,% Detritus,26
3,5,W,% Detritus,82
4,5,W,% Detritus,8
5,5,W,% Detritus,26
1,6,W,% Detritus,5
2,6,W,% Detritus,63
3,6,W,% Detritus,90
2,1,W,% Detritus,25
4,6,W,% Detritus,12
5,6,W,% Detritus,14
1,7,W,% Detritus,2
2,7,W,% Detritus,19
3,7,W,% Detritus,57
4,7,W,% Detritus,31
5,7,W,% Detritus,10
1,8,W,% Detritus,0
2,8,W,% Detritus,0
3,8,W,% Detritus,42
3,1,W,% Detritus,3
4,8,W,% Detritus,55
5,8,W,% Detritus,92
1,9,W,% Detritus,15
2,9,W,% Detritus,15
3,9,W,% Detritus,15
4,9,W,% Detritus,45
5,9,W,% Detritus,15
1,10,W,% Detritus,0.5
2,10,W,% Detritus,65
3,10,W,% Detritus,53
4,1,W,% Detritus,2
4,10,W,% Detritus,20
5,10,W,% Detritus,40
1,11,W,% Detritus,6
2,11,W,% Detritus,48
3,11,W,% Detritus,67
4,11,W,% Detritus,0
5,11,W,% Detritus,46
1,12,W,% Detritus,4
2,12,W,% Detritus,42
3,12,W,% Detritus,58
5,1,W,% Detritus,40
4,12,W,% Detritus,17
5,12,W,% Detritus,52
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
1,2,W,% Detritus,3
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
0,0,W,% Detritus,0
2,2,W,% Detritus,23
3,2,W,% Detritus,2
2,11,EP,% Wrack,0
1,11,EP,% Wrack,15
5,10,EP,% Wrack,0
4,10,EP,% Wrack,0
3,10,EP,% Wrack,0
