"Site","Transect","Species","Avg_Count"
"N",6,"PAHE",0
"N",7,"CAMA",0
"N",7,"CASA",0
"N",7,"HESA",0
"N",7,"LIB",1
"N",7,"PAHE",0
"N",8,"CAMA",0
"N",8,"CASA",0
"N",8,"HESA",1
"N",8,"LIB",0
"N",8,"PAHE",0
"N",9,"CAMA",0
"N",9,"CASA",0
"N",9,"HESA",0
"N",9,"LIB",0
"N",9,"PAHE",0
"N",10,"CAMA",0
"N",10,"CASA",1
"N",10,"HESA",0
"N",10,"LIB",0
"N",10,"PAHE",0
"N",11,"CAMA",0
"N",11,"CASA",0
"N",11,"HESA",0
"N",11,"LIB",0
"N",11,"PAHE",0
"N",12,"CAMA",0
"N",12,"CASA",0
"N",12,"HESA",0
"N",12,"LIB",0
"N",12,"PAHE",0
"PI",1,"AMPH",0
"PI",1,"CAMA",1
"PI",1,"Flounder",0
"PI",1,"FUHE",0
"PI",2,"AMPH",0
"PI",2,"CAMA",2.66666666666667
"PI",2,"Flounder",0
"PI",2,"FUHE",0
"PI",3,"AMPH",0
"PI",3,"CAMA",3.25
"PI",3,"Flounder",0
"PI",3,"FUHE",0
"PI",4,"AMPH",4
"PI",4,"CAMA",2.33333333333333
"PI",4,"Flounder",0
"PI",4,"FUHE",1
"PI",5,"AMPH",0
"PI",5,"CAMA",1.33333333333333
"PI",5,"Flounder",1
"PI",5,"FUHE",2
"PI",6,"AMPH",0
"PI",6,"CAMA",0
"PI",6,"Flounder",0
"PI",6,"FUHE",0
"PI",7,"AMPH",0
"PI",7,"CAMA",0
"PI",7,"Flounder",0
"PI",7,"FUHE",0
"PI",8,"AMPH",0
"PI",8,"CAMA",0.5
"PI",8,"Flounder",0
"PI",8,"FUHE",1
"PI",9,"AMPH",0
"PI",9,"CAMA",2
"PI",9,"Flounder",0
"PI",9,"FUHE",0
"PI",10,"AMPH",0
"PI",10,"CAMA",0
"PI",10,"Flounder",0
"PI",10,"FUHE",0
"PI",11,"AMPH",0
"PI",11,"CAMA",0
"PI",11,"Flounder",0
"PI",11,"FUHE",0
"PI",12,"AMPH",0
"PI",12,"CAMA",1.33333333333333
"PI",12,"Flounder",0
"PI",12,"FUHE",0
"PI15",1,"CAMA",0.25
"PI15",1,"Flounder",0
"PI15",1,"FUHE",0
"PI15",1,"FUMA",0
"PI15",2,"CAMA",0
"PI15",2,"Flounder",0.75
"PI15",2,"FUHE",0
"PI15",2,"FUMA",0.25
"PI15",3,"CAMA",0.5
"PI15",3,"Flounder",0
"PI15",3,"FUHE",0
"PI15",3,"FUMA",0
"PI15",4,"CAMA",0.5
"PI15",4,"Flounder",0.25
"PI15",4,"FUHE",0
"PI15",4,"FUMA",0
"PI15",5,"CAMA",0.25
"PI15",5,"Flounder",0
"PI15",5,"FUHE",0.5
"PI15",5,"FUMA",0.75
"PI15",6,"CAMA",0
"PI15",6,"Flounder",0
"PI15",6,"FUHE",0
"PI15",6,"FUMA",0
"PI15",7,"CAMA",0
"PI15",7,"Flounder",0
"PI15",7,"FUHE",0
"PI15",7,"FUMA",0
"PI15",8,"CAMA",0
"PI15",8,"Flounder",0
"PI15",8,"FUHE",0
"PI15",8,"FUMA",0
"PI15",9,"CAMA",0
"PI15",9,"Flounder",0
"PI15",9,"FUHE",0
"PI15",9,"FUMA",0
"PI15",10,"CAMA",0
"PI15",10,"Flounder",0
"PI15",10,"FUHE",0
"PI15",10,"FUMA",0
"PI15",11,"CAMA",0
"PI15",11,"Flounder",0
"PI15",11,"FUHE",0
"PI15",11,"FUMA",0
"PI15",12,"CAMA",0
"PI15",12,"Flounder",0
"PI15",12,"FUHE",0
"PI15",12,"FUMA",0
"SQ",1,"CAMA",1
"SQ",1,"FUHE",0
"SQ",2,"CAMA",0
"SQ",2,"FUHE",0
"SQ",3,"CAMA",0.5
"SQ",3,"FUHE",0
"SQ",4,"CAMA",0
"SQ",4,"FUHE",0
"SQ",5,"CAMA",0
"SQ",5,"FUHE",0
"SQ",6,"CAMA",1.66666666666667
"SQ",6,"FUHE",0.333333333333333
"SQ",7,"CAMA",0.75
"SQ",7,"FUHE",0
"SQ",8,"CAMA",0.75
"SQ",8,"FUHE",0
"SQ",9,"CAMA",0.25
"SQ",9,"FUHE",0
"SQ",10,"CAMA",0.5
"SQ",10,"FUHE",0
"SQ",11,"CAMA",0.333333333333333
"SQ",11,"FUHE",0
"SQ",12,"CAMA",0.666666666666667
"SQ",12,"FUHE",0
"W",1,"CAMA",1.33333333333333
"W",1,"CASA",0
"W",1,"LIB",0
"W",1,"OVAL",0
"W",1,"PIPE",1
"W",2,"CAMA",0.333333333333333
"W",2,"CASA",0
"W",2,"LIB",0
"W",2,"OVAL",0
"W",2,"PIPE",0
"W",3,"CAMA",2
"W",3,"CASA",0
"W",3,"LIB",0
"W",3,"OVAL",0
"W",3,"PIPE",0
"W",4,"CAMA",1.66666666666667
"W",4,"CASA",0
"W",4,"LIB",0
"W",4,"OVAL",0
"W",4,"PIPE",0
"W",5,"CAMA",0.75
"W",5,"CASA",0
"W",5,"LIB",0
"W",5,"OVAL",0
"W",5,"PIPE",0
"W",6,"CAMA",0.8
"W",6,"CASA",2
"W",6,"LIB",1
"W",6,"OVAL",1
"W",6,"PIPE",0
"W",7,"CAMA",1.33333333333333
"W",7,"CASA",0
"W",7,"LIB",1
"W",7,"OVAL",0
"W",7,"PIPE",0
"W",8,"CAMA",0.75
"W",8,"CASA",0
"W",8,"LIB",2
"W",8,"OVAL",0
"W",8,"PIPE",0
"W",9,"CAMA",0
"W",9,"CASA",0
"W",9,"LIB",0
"W",9,"OVAL",0
"W",9,"PIPE",0
"W",10,"CAMA",0
"W",10,"CASA",0
"W",10,"LIB",0
"W",10,"OVAL",0
"W",10,"PIPE",0
"W",11,"CAMA",0.5
"W",11,"CASA",0
"W",11,"LIB",0
"W",11,"OVAL",0
"W",11,"PIPE",0
"W",12,"CAMA",2
"W",12,"CASA",2
"W",12,"LIB",1
"W",12,"OVAL",0
"W",12,"PIPE",0
"EP",1,"AROS",0
"EP",1,"CAMA",0
"EP",1,"CYVA",0
"EP",1,"FUHE",50
"EP",1,"FUMA",3.5
"EP",1,"PUGIO",1
"EP",1,"UPU",1
"EP",1,"UPX",1
"EP",2,"AROS",0
"EP",2,"CAMA",0
"EP",2,"CYVA",0
"EP",2,"FUHE",22
"EP",2,"FUMA",1
"EP",2,"PUGIO",0
"EP",2,"UPU",0
"EP",2,"UPX",0
"EP",3,"AROS",0
"EP",3,"CAMA",0
"EP",3,"CYVA",0
"EP",3,"FUHE",12.5
"EP",3,"FUMA",0
"EP",3,"PUGIO",0
"EP",3,"UPU",0
"EP",3,"UPX",0
"EP",4,"AROS",1
"EP",4,"CAMA",0
"EP",4,"CYVA",0
"EP",4,"FUHE",39.75
"EP",4,"FUMA",11
"EP",4,"PUGIO",1
"EP",4,"UPU",0
"EP",4,"UPX",0
"EP",5,"AROS",0
"EP",5,"CAMA",0
"EP",5,"CYVA",0
"EP",5,"FUHE",34
"EP",5,"FUMA",1
"EP",5,"PUGIO",0
"EP",5,"UPU",0
"EP",5,"UPX",0
"EP",6,"AROS",0
"EP",6,"CAMA",1.5
"EP",6,"CYVA",0
"EP",6,"FUHE",55
"EP",6,"FUMA",4
"EP",6,"PUGIO",3
"EP",6,"UPU",0
"EP",6,"UPX",0
"EP",7,"AROS",0
"EP",7,"CAMA",0
"EP",7,"CYVA",0
"EP",7,"FUHE",30
"EP",7,"FUMA",0
"EP",7,"PUGIO",0
"EP",7,"UPU",0
"EP",7,"UPX",0
"EP",8,"AROS",1
"EP",8,"CAMA",0
"EP",8,"CYVA",0
"EP",8,"FUHE",42.25
"EP",8,"FUMA",0
"EP",8,"PUGIO",1.5
"EP",8,"UPU",0
"EP",8,"UPX",0
"EP",9,"AROS",1
"EP",9,"CAMA",1
"EP",9,"CYVA",0
"EP",9,"FUHE",1
"EP",9,"FUMA",0
"EP",9,"PUGIO",11
"EP",9,"UPU",0
"EP",9,"UPX",0
"EP",10,"AROS",1
"EP",10,"CAMA",0
"EP",10,"CYVA",0
"EP",10,"FUHE",22.25
"EP",10,"FUMA",6.5
"EP",10,"PUGIO",0
"EP",10,"UPU",0
"EP",10,"UPX",9
"EP",11,"AROS",0
"EP",11,"CAMA",0
"EP",11,"CYVA",11
"EP",11,"FUHE",20
"EP",11,"FUMA",2
"EP",11,"PUGIO",0
"EP",11,"UPU",0
"EP",11,"UPX",9
"EP",12,"AROS",2
"EP",12,"CAMA",0
"EP",12,"CYVA",0
"EP",12,"FUHE",26.75
"EP",12,"FUMA",2
"EP",12,"PUGIO",1
"EP",12,"UPU",0
"EP",12,"UPX",6
"GC",1,"FUHE",0
"GC",2,"FUHE",0
"GC",3,"FUHE",0
"GC",4,"FUHE",1
"GC",5,"FUHE",0
"GC",6,"FUHE",0
"GC",7,"FUHE",0
"GC",8,"FUHE",0
"GC",9,"FUHE",0
"GC",10,"FUHE",0
"GC",11,"FUHE",3
"GC",12,"FUHE",0
"Med",1,"FUHE",4
"Med",1,"PUGIO",1
"Med",2,"FUHE",5.5
"Med",2,"PUGIO",0
"Med",3,"FUHE",9
"Med",3,"PUGIO",1
"Med",4,"FUHE",2.5
"Med",4,"PUGIO",0
"Med",5,"FUHE",30
"Med",5,"PUGIO",0
"Med",6,"FUHE",24.3333333333333
"Med",6,"PUGIO",0
"Med",7,"FUHE",2
"Med",7,"PUGIO",0
"Med",8,"FUHE",1
"Med",8,"PUGIO",0
"Med",9,"FUHE",0
"Med",9,"PUGIO",0
"Med",10,"FUHE",37
"Med",10,"PUGIO",1
"Med",11,"FUHE",7
"Med",11,"PUGIO",0
"Med",12,"FUHE",0
"Med",12,"PUGIO",0
"N",1,"CYVA",1
"N",1,"FUCO",1
"N",1,"FUHE",6
"N",1,"FUMA",0
"N",1,"PUGIO",0
"N",2,"CYVA",1
"N",2,"FUCO",2
"N",2,"FUHE",36
"N",2,"FUMA",1
"N",2,"PUGIO",0
"N",3,"CYVA",0
"N",3,"FUCO",1
"N",3,"FUHE",21
"N",3,"FUMA",4
"N",3,"PUGIO",0
"N",4,"CYVA",0
"N",4,"FUCO",1
"N",4,"FUHE",21
"N",4,"FUMA",2
"N",4,"PUGIO",0
"N",5,"CYVA",8
"N",5,"FUCO",0
"N",5,"FUHE",39
"N",5,"FUMA",4
"N",5,"PUGIO",0
"N",6,"CYVA",0
"N",6,"FUCO",0
"N",6,"FUHE",19
"N",6,"FUMA",12
"N",6,"PUGIO",1
"N",7,"CYVA",2
"N",7,"FUCO",0
"N",7,"FUHE",17
"N",7,"FUMA",6
"N",7,"PUGIO",0
"N",8,"CYVA",0
"N",8,"FUCO",0
"N",8,"FUHE",12
"N",8,"FUMA",1
"N",8,"PUGIO",0
"N",9,"CYVA",2
"N",9,"FUCO",2
"N",9,"FUHE",79
"N",9,"FUMA",4
"N",9,"PUGIO",0
"N",10,"CYVA",0
"N",10,"FUCO",1
"N",10,"FUHE",0
"N",10,"FUMA",0
"N",10,"PUGIO",2
"N",11,"CYVA",2
"N",11,"FUCO",0
"N",11,"FUHE",39
"N",11,"FUMA",7
"N",11,"PUGIO",0
"N",12,"CYVA",2
"N",12,"FUCO",2
"N",12,"FUHE",34
"N",12,"FUMA",3
"N",12,"PUGIO",0
"PI",1,"FUHE",6
"PI",1,"X",0
"PI",1,"X.1",0
"PI",1,"X.2",0
"PI",1,"X.3",0
"PI",1,"X.4",0
"PI",2,"FUHE",27
"PI",2,"X",0
"PI",2,"X.1",0
"PI",2,"X.2",0
"PI",2,"X.3",0
"PI",2,"X.4",0
"PI",3,"FUHE",1
"PI",3,"X",0
"PI",3,"X.1",0
"PI",3,"X.2",0
"PI",3,"X.3",0
"PI",3,"X.4",0
"PI",4,"FUHE",16
"PI",4,"X",0
"PI",4,"X.1",0
"PI",4,"X.2",0
"PI",4,"X.3",0
"PI",4,"X.4",0
"PI",5,"FUHE",7
"PI",5,"X",0
"PI",5,"X.1",0
"PI",5,"X.2",0
"PI",5,"X.3",0
"PI",5,"X.4",0
"PI",6,"FUHE",6
"PI",6,"X",0
"PI",6,"X.1",0
"PI",6,"X.2",0
"PI",6,"X.3",0
"PI",6,"X.4",0
"PI",7,"FUHE",57
"PI",7,"X",0
"PI",7,"X.1",0
"PI",7,"X.2",0
"PI",7,"X.3",0
"PI",7,"X.4",0
"PI",8,"FUHE",55
"PI",8,"X",0
"PI",8,"X.1",0
"PI",8,"X.2",0
"PI",8,"X.3",0
"PI",8,"X.4",0
"PI",9,"FUHE",105
"PI",9,"X",0
"PI",9,"X.1",0
"PI",9,"X.2",0
"PI",9,"X.3",0
"PI",9,"X.4",0
"PI",10,"FUHE",6
"PI",10,"X",0
"PI",10,"X.1",0
"PI",10,"X.2",0
"PI",10,"X.3",0
"PI",10,"X.4",0
"PI",11,"FUHE",52
"PI",11,"X",0
"PI",11,"X.1",0
"PI",11,"X.2",0
"PI",11,"X.3",0
"PI",11,"X.4",0
"PI",12,"FUHE",38
"PI",12,"X",0
"PI",12,"X.1",0
"PI",12,"X.2",0
"PI",12,"X.3",0
"PI",12,"X.4",0
"PI15",1,"AROS",0
"PI15",1,"CAMA",0.25
"PI15",1,"FLOUNDER",0
"PI15",1,"FUHE",12.5
"PI15",1,"POLY",0
"PI15",1,"PUGIO",0.25
"PI15",2,"AROS",0
"PI15",2,"CAMA",0
"PI15",2,"FLOUNDER",0
"PI15",2,"FUHE",13
"PI15",2,"POLY",0
"PI15",2,"PUGIO",0
"PI15",3,"AROS",0
"PI15",3,"CAMA",0
"PI15",3,"FLOUNDER",0
"PI15",3,"FUHE",4.25
"PI15",3,"POLY",0
"PI15",3,"PUGIO",0
"PI15",4,"AROS",0
"PI15",4,"CAMA",0
"PI15",4,"FLOUNDER",0
"PI15",4,"FUHE",42.25
"PI15",4,"POLY",0
"PI15",4,"PUGIO",0.25
"PI15",5,"AROS",0
"PI15",5,"CAMA",0
"PI15",5,"FLOUNDER",0
"PI15",5,"FUHE",48.5
"PI15",5,"POLY",0
"PI15",5,"PUGIO",0.25
"PI15",6,"AROS",0.75
"PI15",6,"CAMA",0
"PI15",6,"FLOUNDER",0
"PI15",6,"FUHE",28
"PI15",6,"POLY",0
"PI15",6,"PUGIO",0
"PI15",7,"AROS",0
"PI15",7,"CAMA",0
"PI15",7,"FLOUNDER",0
"PI15",7,"FUHE",48.75
"PI15",7,"POLY",0
"PI15",7,"PUGIO",0
"PI15",8,"AROS",0
"PI15",8,"CAMA",0
"PI15",8,"FLOUNDER",0.25
"PI15",8,"FUHE",36.5
"PI15",8,"POLY",0
"PI15",8,"PUGIO",0
"PI15",9,"AROS",0
"PI15",9,"CAMA",0
"PI15",9,"FLOUNDER",0
"PI15",9,"FUHE",32.75
"PI15",9,"POLY",0
"PI15",9,"PUGIO",0
"PI15",10,"AROS",0
"PI15",10,"CAMA",0
"PI15",10,"FLOUNDER",0
"PI15",10,"FUHE",19
"PI15",10,"POLY",0
"PI15",10,"PUGIO",0
"PI15",11,"AROS",0
"PI15",11,"CAMA",0.25
"PI15",11,"FLOUNDER",0
"PI15",11,"FUHE",28.5
"PI15",11,"POLY",0
"PI15",11,"PUGIO",0
"PI15",12,"AROS",0
"PI15",12,"CAMA",0
"PI15",12,"FLOUNDER",0
"PI15",12,"FUHE",29
"PI15",12,"POLY",0.25
"PI15",12,"PUGIO",0
"SQ",1,"CAMA",1.5
"SQ",1,"FUHE",1.5
"SQ",1,"FUMA",0
"SQ",1,"PAPO",1
"SQ",1,"PUGIO",0.5
"SQ",2,"CAMA",0
"SQ",2,"FUHE",2.5
"SQ",2,"FUMA",0
"SQ",2,"PAPO",0
"SQ",2,"PUGIO",0
"SQ",3,"CAMA",0
"SQ",3,"FUHE",1
"SQ",3,"FUMA",0
"SQ",3,"PAPO",0
"SQ",3,"PUGIO",0.5
"SQ",4,"CAMA",0.5
"SQ",4,"FUHE",6
"SQ",4,"FUMA",0
"SQ",4,"PAPO",0
"SQ",4,"PUGIO",1
"SQ",5,"CAMA",0
"SQ",5,"FUHE",3.5
"SQ",5,"FUMA",0
"SQ",5,"PAPO",0
"SQ",5,"PUGIO",0
"SQ",6,"CAMA",0
"SQ",6,"FUHE",12
"SQ",6,"FUMA",0
"SQ",6,"PAPO",0.333333333333333
"SQ",6,"PUGIO",0.666666666666667
"SQ",7,"CAMA",0.25
"SQ",7,"FUHE",7.75
"SQ",7,"FUMA",14
"SQ",7,"PAPO",0
"SQ",7,"PUGIO",0
"SQ",8,"CAMA",0
"SQ",8,"FUHE",11.75
"SQ",8,"FUMA",0
"SQ",8,"PAPO",0
"SQ",8,"PUGIO",0
"SQ",9,"CAMA",0
"SQ",9,"FUHE",6
"SQ",9,"FUMA",19
"SQ",9,"PAPO",0
"SQ",9,"PUGIO",0.25
"SQ",10,"CAMA",0
"SQ",10,"FUHE",14.6666666666667
"SQ",10,"FUMA",8
"SQ",10,"PAPO",0
"SQ",10,"PUGIO",1.33333333333333
"SQ",11,"CAMA",0
"SQ",11,"FUHE",13.6666666666667
"SQ",11,"FUMA",0
"SQ",11,"PAPO",3.33333333333333
"SQ",11,"PUGIO",1.33333333333333
"SQ",12,"CAMA",0
"SQ",12,"FUHE",15.6666666666667
"SQ",12,"FUMA",0
"SQ",12,"PAPO",0
"SQ",12,"PUGIO",0
"W",1,"AROS",0
"W",1,"CAMA",1
"W",1,"FUCO",0
"W",1,"FUHE",12
"W",1,"FUMA",0
"W",1,"PAHE",0
"W",1,"PUGIO",5
"W",2,"AROS",0
"W",2,"CAMA",1
"W",2,"FUCO",3
"W",2,"FUHE",19.5
"W",2,"FUMA",19
"W",2,"PAHE",1
"W",2,"PUGIO",1
"W",3,"AROS",1
"W",3,"CAMA",1.5
"W",3,"FUCO",0
"W",3,"FUHE",12
"W",3,"FUMA",3
"W",3,"PAHE",0
"W",3,"PUGIO",7.5
"W",4,"AROS",0
"W",4,"CAMA",0
"W",4,"FUCO",1
"W",4,"FUHE",1
"W",4,"FUMA",1
"W",4,"PAHE",0
"W",4,"PUGIO",11
"W",5,"AROS",0
"W",5,"CAMA",1
"W",5,"FUCO",0
"W",5,"FUHE",2
"W",5,"FUMA",7
"W",5,"PAHE",1.5
"W",5,"PUGIO",1
"W",6,"AROS",0
"W",6,"CAMA",0
"W",6,"FUCO",9
"W",6,"FUHE",2
"W",6,"FUMA",9
"W",6,"PAHE",1
"W",6,"PUGIO",2.5
"W",7,"AROS",0
"W",7,"CAMA",0
"W",7,"FUCO",0
"W",7,"FUHE",0
"W",7,"FUMA",0
"W",7,"PAHE",0
"W",7,"PUGIO",0
"W",8,"AROS",0
"W",8,"CAMA",2
"W",8,"FUCO",3
"W",8,"FUHE",9.66666666666667
"W",8,"FUMA",18
"W",8,"PAHE",0
"W",8,"PUGIO",1
"W",9,"AROS",0
"W",9,"CAMA",1
"W",9,"FUCO",3
"W",9,"FUHE",0
"W",9,"FUMA",12
"W",9,"PAHE",0
"W",9,"PUGIO",0
"W",10,"AROS",1
"W",10,"CAMA",0
"W",10,"FUCO",5
"W",10,"FUHE",0
"W",10,"FUMA",22
"W",10,"PAHE",0
"W",10,"PUGIO",0
"W",11,"AROS",0
"W",11,"CAMA",1
"W",11,"FUCO",8
"W",11,"FUHE",0
"W",11,"FUMA",45
"W",11,"PAHE",0
"W",11,"PUGIO",0
"W",12,"AROS",0
"W",12,"CAMA",2.5
"W",12,"FUCO",1
"W",12,"FUHE",0
"W",12,"FUMA",12.5
"W",12,"PAHE",0
"W",12,"PUGIO",0
