"Site","Transect","Quadrat","Species","Count","N_Squares"
"EP",5,1,"UKN mosquito ",17,8
"EP",5,1,NA,0,3
"EP",5,3,"Cecidomyidae",4,2
"EP",5,3,"Chloropidae",26,6
"EP",5,3,"Megamealus sp.",13,4
"EP",5,3,"Mycetophilidae ",2,1
"EP",5,3,"Paraclius sp.",5,3
"EP",5,3,"Prokelisia sp",6,2
"EP",5,3,"Tipulidae",1,1
"EP",5,3,"Trigonotylus sp",1,1
"EP",5,3,"Trombid mite",2,2
"EP",5,3,NA,0,1
"EP",5,5,"Amphipoda",1,1
"EP",5,5,"Black ant (Formicidae)",11,4
"EP",5,5,"callitula sp",4,3
"EP",5,5,"Cecidomyidae",16,5
"EP",5,5,"Chloropidae",11,6
"EP",5,5,"Cicadellidae",1,1
"EP",5,5,"Clubonia sp",10,4
"EP",5,5,"Cyphon sp.",1,1
"EP",5,5,"Delphacodes",5,3
"EP",5,5,"Erythrid mite",8,3
"EP",5,5,"Grammonota trivitatta",5,2
"EP",5,5,"Hyposinga variabilis",2,1
"EP",5,5,"Linyphidae",11,5
"EP",5,5,"Lygaeidae",2,1
"EP",5,5,"Orobatid mite",13,5
"EP",5,5,"Paraclius sp.",3,3
"EP",5,5,"Pardosa sp.",1,1
"EP",5,5,"Tytthus sp.",8,3
"EP",5,5,"Venzilla parvus",11,5
"EP",6,1,"Cecidomyidae",13,8
"EP",6,1,"Chloropidae",11,6
"EP",6,1,NA,0,3
"EP",6,3,"callitula sp",5,2
"EP",6,3,"Cecidomyidae",20,8
"EP",6,3,"Chaetopsis sp.",3,1
"EP",6,3,"Chloropidae",20,10
"EP",6,3,"Clubonia sp",11,7
"EP",6,3,"Delphacodes",11,5
"EP",6,3,"Grammonota trivitatta",1,1
"EP",6,3,"Gryllus sp.",1,1
"EP",6,3,"Linyphidae",4,3
"EP",6,3,"Megamealus sp.",4,2
"EP",6,3,"Orobatid mite",9,4
"EP",6,3,"Paraclius sp.",4,2
"EP",6,3,"Prokelisia sp",9,4
"EP",6,3,"Salticidae",1,1
"EP",6,3,"Tytthus sp.",2,1
"EP",6,5,"Amphipoda",2,1
"EP",6,5,"Black ant (Formicidae)",1,1
"EP",6,5,"Cecidomyidae",9,4
"EP",6,5,"Chloropidae",12,6
"EP",6,5,"Cicadellidae",3,1
"EP",6,5,"Clubonia sp",2,1
"EP",6,5,"Delphacodes",5,3
"EP",6,5,"Erythrid mite",1,1
"EP",6,5,"Grammonota trivitatta",3,2
"EP",6,5,"Hogna sp",2,1
"EP",6,5,"Hyposinga variabilis",2,1
"EP",6,5,"Lasius",1,1
"EP",6,5,"Linyphidae",8,3
"EP",6,5,"Orobatid mite",7,3
"EP",6,5,"Paraclius sp.",6,4
"EP",6,5,"Prokelisia sp",1,1
"EP",6,5,"Tytthus sp.",2,1
"EP",6,5,"Venzilla parvus",5,1
"EP",7,1,"Anurida maritima",1,1
"EP",7,1,"callitula sp",4,3
"EP",7,1,"Cecidomyidae",11,6
"EP",7,1,"Chaetopsis sp.",1,1
"EP",7,1,"Chloropidae",26,9
"EP",7,1,"Clubonia sp",1,1
"EP",7,1,"Delphacodes",11,4
"EP",7,1,"Dohrniphora sp",1,1
"EP",7,1,"Erythrid mite",5,5
"EP",7,1,"Grammonota trivitatta",14,9
"EP",7,1,"Hebridae",2,2
"EP",7,1,"Hydrophilidae larvae",2,2
"EP",7,1,"Hyposinga variabilis",1,1
"EP",7,1,"Linyphidae",7,5
"EP",7,1,"Littorina littorea",1,1
"EP",7,1,"Megamealus sp.",3,2
"EP",7,1,"Mycetophilidae ",8,5
"EP",7,1,"Naemia sp.",1,1
"EP",7,1,"Orobatid mite",8,7
"EP",7,1,"Paraclius sp.",2,2
"EP",7,1,"Prokelisia sp",2,1
"EP",7,1,"Tipula sp.",2,1
"EP",7,1,"Tipulidae",2,2
"EP",7,1,"Trigonotylus sp",5,4
"EP",7,1,"Venzilla parvus",1,1
"EP",7,3,"Amphipoda",3,3
"EP",7,3,"callitula sp",4,2
"EP",7,3,"Clubonia sp",7,7
"EP",7,3,"Dohrniphora sp",8,5
"EP",7,3,"hemiptera nymph",17,6
"EP",7,3,"Intercella sp.",14,6
"EP",7,3,"Mycetophilidae ",65,14
"EP",7,3,"Orabatis hemelius",9,5
"EP",7,3,"Orobatid mite",2,1
"EP",7,3,"Reduviidae",9,6
"EP",7,3,"Sminthuridae",5,4
"EP",7,3,"Trombid mite",3,2
"EP",7,5,"Cecidomyidae",7,6
"EP",7,5,"Chloropidae",7,5
"EP",7,5,"Lasius",1,1
"EP",7,5,"Orobatid mite",11,6
"EP",7,5,"Paraclius sp.",9,6
"EP",8,1,"Acrodactyla sp",3,2
"EP",8,1,"callitula sp",8,7
"EP",8,1,"Cecidomyidae",7,5
"EP",8,1,"Chaetopsis sp.",3,2
"EP",8,1,"Chloropidae",25,15
"EP",8,1,"Cyphon sp.",1,1
"EP",8,1,"Delphacodes",2,2
"EP",8,1,"Dohrniphora sp",1,1
"EP",8,1,"Grammonota trivitatta",1,1
"EP",8,1,"Hydrophilidae larvae",1,1
"EP",8,1,"Linyphidae",5,3
"EP",8,1,"Littorina littorea",3,3
"EP",8,1,"Long nose black beetle",1,1
"EP",8,1,"Lygaeidae",1,1
"EP",8,1,"Megamealus sp.",2,2
"EP",8,1,"Mycetophilidae ",3,2
"EP",8,1,"Orobatid mite",1,1
"EP",8,1,"Paraclius sp.",4,3
"EP",8,1,"Spathius sp.",1,1
"EP",8,3,"Cecidomyidae",2,1
"EP",8,3,"Chaetopsis sp.",2,2
"EP",8,3,"Chloropidae",11,5
"EP",8,3,"Clubonia sp",2,2
"EP",8,3,"Dohrniphora sp",12,5
"EP",8,3,"Dolichopodidae",8,6
"EP",8,3,"Looks like tythus unknown 91",1,1
"EP",8,3,"Megamealus sp.",2,2
"EP",8,3,"Mycetophilidae ",4,4
"EP",8,3,"Ochlerotatus sollicitans",6,4
"EP",8,3,"Orobatid mite",2,2
"EP",8,3,"Prokelisia sp",1,1
"EP",8,3,"Reduviidae",3,2
"EP",8,3,"Tipula sp.",1,1
"EP",8,3,"Trigonotylus sp",1,1
"EP",8,3,"Tytthus sp.",5,4
"EP",8,3,"Unknown fat bug 93",1,1
"EP",8,3,"Unknown wasp unknown 92",1,1
"EP",8,5,"Acantheperia stellata",1,1
"EP",8,5,"callitula sp",5,5
"EP",8,5,"Chloropidae",9,9
"EP",8,5,"Cicadellidae",1,1
"EP",8,5,"Cyphon sp.",1,1
"EP",8,5,"Erythrid mite",1,1
"EP",8,5,"Gryllus sp.",1,1
"EP",8,5,"Hyposinga variabilis",1,1
"EP",8,5,"Linyphidae",1,1
"EP",8,5,"Orobatid mite",6,6
"EP",9,1,"Acrodactyla sp",1,1
"EP",9,1,"Amphipoda",5,5
"EP",9,1,"Anurida maritima",1,1
"EP",9,1,"callitula sp",2,2
"EP",9,1,"Cecidomyidae",6,5
"EP",9,1,"Chaetopsis sp.",2,2
"EP",9,1,"Chloropidae",1,1
"EP",9,1,"Clubonia sp",3,3
"EP",9,1,"Delphacodes",1,1
"EP",9,1,"Dohrniphora sp",1,1
"EP",9,1,"Dolichopodidae",2,2
"EP",9,1,"Grammonota trivitatta",4,4
"EP",9,1,"Linyphidae",4,4
"EP",9,1,"Littorina littorea",2,2
"EP",9,1,"Orobatid mite",7,4
"EP",9,1,"Prokelisia sp",1,1
"EP",9,1,"Tipula sp.",1,1
"EP",9,1,"Tipulidae",1,1
"EP",9,1,"Trigonotylus sp",1,1
"EP",9,1,"Tytthus sp.",3,3
"EP",9,5,"Lasius",1,1
"EP",9,5,"Long nose black beetle",1,1
"EP",9,5,"pyrrhocoridae sp",1,1
"EP",9,5,"Spotted spider",1,1
"EP",9,5,"Trombid mite",4,4
"EP",9,5,"Venzilla parvus",4,4
"EP",9,5,NA,0,8
"EP",10,3,"callitula sp",2,1
"EP",10,3,"Cecidomyidae",29,11
"EP",10,3,"Chloropidae",23,11
"EP",10,3,"Delphacodes",6,5
"EP",10,3,"Orobatid mite",7,3
"EP",10,3,"Paraclius sp.",2,1
"EP",10,5,"Chloropidae",12,7
"EP",10,5,"Cyphon sp.",2,2
"EP",10,5,"long nose black beetle",2,2
"EP",10,5,"Marpissa sp",1,1
"EP",10,5,"Orobatid mite",34,7
"EP",10,5,"Pardosa sp.",4,4
"EP",10,5,"Venzilla parvus",1,1
"EP",10,5,NA,0,2
"EP",11,1,"Amphipoda",14,7
"EP",11,1,"callitula sp",2,2
"EP",11,1,"Cecidomyidae",6,3
"EP",11,1,"Chloropidae",23,9
"EP",11,1,"Clubonia sp",5,3
"EP",11,1,"Delphacodes",7,3
"EP",11,1,"Grammonota trivitatta",1,1
"EP",11,1,"Linyphidae",10,7
"EP",11,1,"Megamealus sp.",3,2
"EP",11,1,"Orobatid mite",6,4
"EP",11,1,"Paraclius sp.",2,2
"EP",11,1,"Prokelisia sp",3,3
"EP",11,1,"Trigonotylus sp",2,2
"EP",11,3,"Amphipoda",29,15
"EP",11,3,"beetle",5,5
"EP",11,3,"Cecidomyidae",49,18
"EP",11,3,"Chaetopsis sp.",1,1
"EP",11,3,"Chloropidae",56,19
"EP",11,3,"Clubonia sp",23,11
"EP",11,3,"Cyphon sp.",2,2
"EP",11,3,"Delphacodes",41,14
"EP",11,3,"Erythrid mite",17,9
"EP",11,3,"Grammonota trivitatta",8,7
"EP",11,3,"Linyphidae",3,3
"EP",11,3,"Megamealus sp.",1,1
"EP",11,3,"Orobatid mite",45,16
"EP",11,3,"Paraclius sp.",11,7
"EP",11,3,"Prokelisia sp",25,10
"EP",11,3,"Trombid mite",3,2
"EP",11,3,"Tytthus sp.",15,4
"EP",11,3,"Venzilla parvus",39,11
"EP",12,1,"Amphipoda",19,9
"EP",12,1,"Clubonia sp",9,3
"EP",12,1,"Delphacodes",10,4
"EP",12,1,"Erythrid mite",9,4
"EP",12,1,"Hyposinga variabilis",1,1
"EP",12,1,"Linyphidae",2,1
"EP",12,1,"Megamealus sp.",2,1
"EP",12,1,"Orobatid mite",8,4
"EP",12,1,"Pardosa sp.",2,1
"EP",12,1,"Prokelisia sp",20,7
"EP",12,1,"Trombid mite",6,3
"EP",12,1,"Venzilla parvus",15,8
"EP",12,5,"Amphipoda",3,2
"EP",12,5,"callitula sp",3,3
"EP",12,5,"Cecidomyidae",32,10
"EP",12,5,"Chloropidae",22,10
"EP",12,5,"Clubonia sp",2,2
"EP",12,5,"Lasius",1,1
"EP",12,5,"Orobatid mite",328,20
"EP",12,5,"Paraclius sp.",5,4
"EP",12,5,"Purple butt fly",2,2
"EP",12,5,"Tetragnatha sp",1,1
"EP",12,5,"Venzilla parvus",18,10
"GC",1,1,"Amphipoda",76,12
"GC",1,1,"Anurida maritima",281,15
"GC",1,1,"callitula sp",8,7
"GC",1,1,"Dohrniphora sp",25,10
"GC",1,1,"Hebridae",2,2
"GC",1,1,"Orobatid mite",14,9
"GC",1,1,"Paraclius sp.",2,2
"GC",1,1,"Prokelisia sp",121,15
"GC",1,1,"Trombid mite",1,1
"GC",1,3,"Acrodactyla sp",1,1
"GC",1,3,"Amphipoda",87,13
"GC",1,3,"callitula sp",3,2
"GC",1,3,"Dohrniphora sp",1,1
"GC",1,3,"Haplogonatopus",1,1
"GC",1,3,"Hebridae",8,7
"GC",1,3,"hemiptera nymph",55,12
"GC",1,3,"Linyphidae",8,7
"GC",1,3,"Orobatid mite",12,8
"GC",1,3,"Pardosa sp.",11,8
"GC",1,3,"Prokelisia sp",8,6
"GC",1,3,"Trombid mite",5,5
"GC",1,5,"Amphipoda",2,2
"GC",1,5,"Chloropidae",1,1
"GC",1,5,"Habronattus",1,1
"GC",1,5,"Orobatid mite",3,3
"GC",1,5,"Prokelisia sp",2,2
"GC",1,5,"Spathius sp.",1,1
"GC",1,5,"Venzilla parvus",3,3
"GC",1,5,NA,0,4
"GC",2,1,"Amphipoda",64,14
"GC",2,1,"Anurida maritima",476,14
"GC",2,1,"callitula sp",2,2
"GC",2,1,"Cecidomyidae",3,2
"GC",2,1,"Delphacodes",55,14
"GC",2,1,"Paraclius sp.",4,4
"GC",2,1,"Prokelisia sp",53,14
"GC",2,1,"Trigonotylus sp",1,1
"GC",2,1,"Tytthus sp.",4,4
"GC",2,1,"Xylocopinae",1,1
"GC",2,3,"Amphipoda",473,15
"GC",2,3,"callitula sp",30,13
"GC",2,3,"Chaetopsis sp.",2,2
"GC",2,3,"Clubonia sp",14,9
"GC",2,3,"Conocephalus spartinae",1,1
"GC",2,3,"Hebridae",4,4
"GC",2,3,"hemiptera nymph",30,11
"GC",2,3,"Hydrophilidae larvae",1,1
"GC",2,3,"Linyphidae",12,6
"GC",2,3,"Orobatid mite",20,10
"GC",2,3,"Paraclius sp.",15,10
"GC",2,3,"Pardosa sp.",196,13
"GC",2,3,"Prokelisia sp",57,13
"GC",2,3,"Trigonotylus sp",5,5
"GC",2,3,"Trombid mite",2,2
"GC",2,5,"Amphipoda",4,2
"GC",2,5,"callitula sp",1,1
"GC",2,5,"Dohrniphora sp",5,4
"GC",2,5,"Hebridae",3,3
"GC",2,5,"Linyphidae",4,3
"GC",2,5,"Melampus bidentata",2,1
"GC",2,5,"Orobatid mite",65,14
"GC",2,5,"Paraclius sp.",1,1
"GC",2,5,"Pardosa sp.",8,6
"GC",2,5,"Prokelisia sp",1,1
"GC",2,5,"Trombid mite",1,1
"GC",2,5,"Venzilla parvus",12,9
"GC",3,1,"Acrodactyla sp",1,1
"GC",3,1,"Amphipoda",179,14
"GC",3,1,"Anurida maritima",26,7
"GC",3,1,"Black ant (Formicidae)",1,1
"GC",3,1,"callitula sp",11,5
"GC",3,1,"Cecidomyidae",3,2
"GC",3,1,"Chaetopsis sp.",3,1
"GC",3,1,"Chloropidae",5,3
"GC",3,1,"Delphacodes",48,14
"GC",3,1,"Grammonota trivitatta",4,2
"GC",3,1,"Hyposinga variabilis",1,1
"GC",3,1,"Orobatid mite",8,3
"GC",3,1,"Paraclius sp.",4,3
"GC",3,1,"Tipula sp.",1,1
"GC",3,1,"Trigonotylus sp",2,1
"GC",3,3,"Acrodactyla sp",3,3
"GC",3,3,"Amphipoda",26,15
"GC",3,3,"callitula sp",1,1
"GC",3,3,"Chloropidae",8,5
"GC",3,3,"Linyphidae",9,8
"GC",3,3,"Orobatid mite",12,9
"GC",3,3,"Paraclius sp.",6,5
"GC",3,3,"Prokelisia sp",6,4
"GC",3,3,"Trombid mite",4,3
"GC",3,3,"Tytthus sp.",13,9
"GC",3,5,"callitula sp",1,1
"GC",3,5,"Cecidomyidae",5,4
"GC",3,5,"Chloropidae",3,3
"GC",3,5,"Grammonota trivitatta",4,4
"GC",3,5,"Orobatid mite",10,7
"GC",3,5,"Paraclius sp.",2,2
"GC",3,5,"Tytthus sp.",9,7
"GC",3,5,"Venzilla parvus",1,1
"GC",3,5,NA,0,10
"GC",4,1,"Acrodactyla sp",1,1
"GC",4,1,"Amphipoda",45,13
"GC",4,1,"Anurida maritima",21,8
"GC",4,1,"callitula sp",5,4
"GC",4,1,"Cecidomyidae",1,1
"GC",4,1,"Chaetopsis sp.",1,1
"GC",4,1,"Chloropidae",2,2
"GC",4,1,"Cicadellidae",2,2
"GC",4,1,"Clubonia sp",5,4
"GC",4,1,"Delphacodes",32,9
"GC",4,1,"Grammonota trivitatta",1,1
"GC",4,1,"Hydrophilidae larvae",1,1
"GC",4,1,"Linyphidae",20,12
"GC",4,1,"Orobatid mite",15,7
"GC",4,1,"Paraclius sp.",4,3
"GC",4,1,"Pardosa sp.",7,4
"GC",4,1,"Prokelisia sp",1,1
"GC",4,3,"Amphipoda",127,15
"GC",4,3,"Anurida maritima",10,6
"GC",4,3,"Chloropidae",1,1
"GC",4,3,"Cicadellidae",2,2
"GC",4,3,"Clubonia sp",5,5
"GC",4,3,"Conocephalus spartinae",3,2
"GC",4,3,"Dohrniphora sp",10,5
"GC",4,3,"Gryllus sp.",1,1
"GC",4,3,"Haplogonatopus",2,2
"GC",4,3,"Hebridae",11,6
"GC",4,3,"hemiptera nymph",63,11
"GC",4,3,"Linyphidae",8,6
"GC",4,3,"Melampus bidentata",2,2
"GC",4,3,"Orobatid mite",37,18
"GC",4,3,"Paraclius sp.",6,6
"GC",4,3,"Pardosa sp.",15,9
"GC",4,3,"Prokelisia sp",33,10
"GC",4,3,"Spathius sp.",4,3
"GC",4,3,"Trombid mite",15,8
"GC",4,3,"Tytthus sp.",3,3
"GC",4,3,"Venzilla parvus",1,1
"GC",5,1,"Amphipoda",7,4
"GC",5,1,"callitula sp",7,6
"GC",5,1,"Clubonia sp",11,7
"GC",5,1,"Dohrniphora sp",9,5
"GC",5,1,"Intercella sp.",16,7
"GC",5,1,"Orobatid mite",13,7
"GC",5,1,"Paraclius sp.",10,7
"GC",5,1,"Pardosa sp.",8,7
"GC",5,1,"Prokelisia sp",28,13
"GC",5,1,"Trigonotylus sp",3,3
"GC",5,3,"Amphipoda",6,4
"GC",5,3,"callitula sp",2,2
"GC",5,3,"Chloropidae",5,3
"GC",5,3,"Clubonia sp",4,2
"GC",5,3,"Dohrniphora sp",23,4
"GC",5,3,"hemiptera nymph",84,4
"GC",5,3,"Linyphidae",1,1
"GC",5,3,"Megamealus sp.",15,1
"GC",5,3,"Orobatid mite",13,8
"GC",5,3,"Paraclius sp.",2,2
"GC",5,3,"Pardosa sp.",6,3
"GC",5,3,"Prokelisia sp",291,4
"GC",5,3,"Thripidae sp.",1,1
"GC",5,3,"Trombid mite",11,4
"GC",5,3,"Venzilla parvus",11,4
"GC",5,3,NA,0,3
"GC",5,5,"callitula sp",1,1
"GC",5,5,"hemiptera nymph",18,9
"GC",5,5,"Intercella sp.",11,6
"GC",5,5,"Linyphidae",2,2
"GC",5,5,"Mycetophilidae ",1,1
"GC",5,5,"Orobatid mite",64,14
"GC",5,5,"Paraclius sp.",1,1
"GC",5,5,"Pardosa sp.",3,3
"GC",5,5,"Prokelisia sp",6,3
"GC",5,5,"Trombid mite",11,1
"GC",5,5,"Venzilla parvus",2,2
"GC",6,1,"Amphipoda",46,14
"GC",6,1,"callitula sp",13,7
"GC",6,1,"Clubonia sp",5,3
"GC",6,1,"Delphacodes",5,3
"GC",6,1,"Hydrophilidae larvae",6,5
"GC",6,1,"Linyphidae",20,10
"GC",6,1,"Orobatid mite",29,10
"GC",6,1,"Paraclius sp.",8,4
"GC",6,1,"Prokelisia sp",3,3
"GC",6,3,"Amphipoda",1,1
"GC",6,3,"Chloropidae",2,2
"GC",6,3,"Cicadellidae",2,2
"GC",6,3,"Linyphidae",2,2
"GC",6,3,"Orobatid mite",4,4
"GC",6,3,"Paraclius sp.",3,3
"GC",6,3,NA,0,1
"GC",6,5,"Cecidomyidae",5,4
"GC",6,5,"Melampus bidentata",6,4
"GC",6,5,"Orobatid mite",12,8
"GC",6,5,NA,0,4
"GC",7,1,"Amphipoda",4,4
"GC",7,1,"callitula sp",3,3
"GC",7,1,"Cecidomyidae",2,2
"GC",7,1,"Chloropidae",1,1
"GC",7,1,"Grammonota trivitatta",1,1
"GC",7,1,"Linyphidae",1,1
"GC",7,1,"Orobatid mite",8,5
"GC",7,1,"Prokelisia sp",10,6
"GC",7,3,"Amphipoda",46,10
"GC",7,3,"Cecidomyidae",3,3
"GC",7,3,"Chloropidae",1,1
"GC",7,3,"Hebridae",2,2
"GC",7,3,"Orobatid mite",2,2
"GC",7,3,"Paraclius sp.",5,5
"GC",7,3,"Tytthus sp.",3,3
"GC",7,5,"Cecidomyidae",5,2
"GC",7,5,"Chloropidae",3,2
"GC",7,5,"Cicadellidae",3,2
"GC",7,5,"green eye fly",1,1
"GC",7,5,"Habronattus",1,1
"GC",7,5,"Hebridae",1,1
"GC",7,5,"Orobatid mite",23,12
"GC",7,5,"Spathius sp.",2,2
"GC",8,1,"Amphipoda",55,13
"GC",8,1,"callitula sp",4,4
"GC",8,1,"Chloropidae",3,2
"GC",8,1,"Cicadellidae",4,4
"GC",8,1,"Cyphon sp.",1,1
"GC",8,1,"Delphacodes",28,10
"GC",8,1,"hemiptera nymph",18,9
"GC",8,1,"Hydrophilidae larvae",2,1
"GC",8,1,"Linyphidae",15,8
"GC",8,1,"Orobatid mite",33,12
"GC",8,1,"Paraclius sp.",8,8
"GC",8,1,"Prokelisia sp",5,2
"GC",8,1,"Trigonotylus sp",1,1
"GC",8,1,"Tytthus sp.",10,10
"GC",8,3,"Amphipoda",3,3
"GC",8,3,"Cicadellidae",1,1
"GC",8,3,"Grammonota trivitatta",3,3
"GC",8,3,"Melampus bidentata",2,2
"GC",8,3,"Orobatid mite",77,13
"GC",8,3,"Venzilla parvus",6,5
"GC",8,5,"Amphipoda",8,6
"GC",8,5,"callitula sp",1,1
"GC",8,5,"Cecidomyidae",1,1
"GC",8,5,"Chloropidae",8,6
