Code,Protocol,Fix,Remove
lima bean moth,Vacuum Sampling,lima bean moth,
Litoraria.sp,Cores,LIT,
Littorina,Quadrat,LIT,
long abdomen salticidae,Vacuum Sampling,Salticidae,
long antenna true bug,Vacuum Sampling,pyrrhocoridae sp,
Long antenna true bug,Vacuum Sampling,pyrrhocoridae sp,
Looks like tythus unknown 91,Vacuum Sampling,Miridae,
LSAND,Birds,SLING,
MAKE,Birds,MOCK,
MALLARD,Birds,MAL,
Manayunkia.aestuarina,Cores,MAN,
Melampus,Quadrat,MEBI,
Meni?,Video Sampling,Meni,
MERL,Birds,MERL,
MINOW ?,Video Sampling,FUHE,
miridae tytthos,Vacuum Sampling,Tytthus sp.,
MOOO,Birds,COW,
MOURNINGDOVE,Birds,MOURN,
Mussels,Quadrat,GUDE,
Mycetophilidae,Vacuum Sampling,Mycetophilidae ,
new red ant,Vacuum Sampling,Lasius,
NIGHT BUTTERFLY,Vacuum Sampling,Noctuidae,
OCCO,Birds,,1
OPX,Deep Pitfall,UPX,
OSPR,Birds,OSP,
OSPREY,Birds,OSP,
other hyposinga,Vacuum Sampling,Hyposinga variabilis,
Other hyposinga,Vacuum Sampling,Hyposinga variabilis,
Paraclius sp,Vacuum Sampling,Paraclius sp.,
Pardosa sp,Vacuum Sampling,Pardosa sp.,
PIPLOV,Birds,PPLOV,
PLOV,Birds,PPLOV,
Polychaeta,Cores,POLY,
RDOIN,Birds,AMRO,
Red ant,Vacuum Sampling,Lasius,
SALTMARSH SPARROW,Birds,SMSPAR,
SANDERLING,Birds,SLING,
SANDPIP,Birds,LSPIP,
sedge,Quadrat,SCAM,
Ses J,Quadrat,SES,
SM SPATR,Birds,SMSPAR,
SMSP,Birds,SMSPAR,
SNEG,Birds,EGR,
SNOWY,Birds,EGR,
SPAR,Birds,SMSPAR,
SPOTTED SANDPIPER,Birds,SPSPIP,
SPPIP,Birds,SPSPIP,
SSP,Birds,SPSPIP,
STROW,Video Sampling,STRO,
SWAL,Birds,TSWAL,
SWALLOW SPP.,Birds,TSWAL,
SWAN,Birds,SWAN,
SYMTEM,Quadrat,SYMTEN,
Tick,Vacuum Sampling,parasitiformes,
tipula fuliginosa,Vacuum Sampling,Tipula sp.,
TRSW,Birds,TSWAL,
TSPAR,Birds,TSWAL,
TSSB (THREE SPINE),Video Sampling,TSSB,
TSWAP,Birds,TSWAL,
TUVU,Birds,TUVU,
TWOHEE,Birds,TOWHEE,
TYO,Quadrat,TYP,
Uca.sp,Cores,UPX,
UKN mosquito,Vacuum Sampling,Ochlerotatus sollicitans,
UNK Big mite (94),Vacuum Sampling,,
UNK fly,Vacuum Sampling,,1
Unk mosquito,Vacuum Sampling,Ochlerotatus sollicitans,
UNK salticidae,Vacuum Sampling,Salticidae,
Unknown,Video Sampling,,1
UNKNOWN,Video Sampling,,1
unknown @ end,Video Sampling,,1
Unknown 1,Video Sampling,,1
unknown 2,Video Sampling,,1
Unknown 2,Video Sampling,,1
Unknown fat bug 93,Vacuum Sampling,,
Unknown fly,Vacuum Sampling,,1
UNKNOWN FLY,Vacuum Sampling,,1
Unknown grasshopper,Vacuum Sampling,Conocephalus spartinae,
unknown Hermit crab,Video Sampling,PAG,
unknown ladybug,Vacuum Sampling,Naemia sp.,
Unknown ladybug,Vacuum Sampling,Naemia sp.,
Unknown Long legs short wings,Vacuum Sampling,,1
Unknown Morph,Vacuum Sampling,,1
Unknown mosquito,Vacuum Sampling,Ochlerotatus sollicitans,
Unknown wasp unknown 92,Vacuum Sampling,,
UPU.1,Deep Pitfall,UPU,
UPX.1,Deep Pitfall,UPX,
UUA,Quadrat,UPX,
WASP,Shallow Pitfall,,1
WHIMBREL,Birds,WHIM,
WILLETT,Birds,WILLET,
WILLETTT,Birds,WILLET,
Winged cousin tythus,Vacuum Sampling,Miridae,
