SPA Density1,11,3,N/A,N/A,N/A,7,30,19,N/A,N/A,18,1,17,N/A,N/A,11,24,19,11,1,28,58,N/A,N/A,N/A,25,N/A,N/A,31,N/A,17,6,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,23,0,N/A,N/A
SPA Density2,48,2,NA,NA,NA,18,49,20,NA,NA,29,3,15,NA,NA,15,4,16,8,0,32,52,N/A,N/A,N/A,21,N/A,N/A,29,N/A,8,3,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,35,0,N/A,N/A
SPA Density3,27,1,N/A,N/A,N/A,24,55,39,N/A,N/A,26,5,32,N/A,N/A,12,9,11,7,0,16,49,N/A,N/A,N/A,17,N/A,N/A,28,N/A,12,3,N/A,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,39,3,N/A,N/A
SPA Height1,78,22,NA,NA,NA,76,73,85,NA,NA,48,5,32,NA,NA,78,92,122,96,26,43,55,N/A,N/A,N/A,86,N/A,N/A,63,N/A,64,43,N/A,N/A,N/A,85,N/A,N/A,N/A,N/A,N/A,56,23,N/A,N/A
SPA Height2,100,29,N/A,N/A,N/A,56,68,84,N/A,N/A,86,61,33,N/A,N/A,96,97,86,38,40,75,61,N/A,N/A,N/A,101,N/A,N/A,68,N/A,66,46,N/A,N/A,N/A,105,N/A,N/A,N/A,N/A,N/A,33,36,N/A,N/A
SPA Height3,89,25,NA,NA,NA,72,67,67,NA,NA,60,36,30,NA,NA,79,81,88,52,22,85,59,N/A,N/A,N/A,82,N/A,N/A,62,N/A,82,40,N/A,N/A,N/A,94,N/A,N/A,N/A,N/A,N/A,38,37,N/A,N/A
SPA Height4,92,33,N/A,N/A,N/A,81,66,64,N/A,N/A,67,47,39,N/A,N/A,82,11,32,37,29,95,56,N/A,N/A,N/A,92,N/A,N/A,63,N/A,86,31,N/A,N/A,N/A,95,N/A,N/A,N/A,N/A,N/A,42,24,N/A,N/A
SPA Height5,91,24,NA,NA,NA,72,75,75,NA,NA,61,68,27,NA,NA,80,58,91,121,41,74,82,N/A,N/A,N/A,79,N/A,N/A,51,N/A,66,38,N/A,N/A,N/A,103,N/A,N/A,N/A,N/A,N/A,46,23,N/A,N/A
SPA Height6,86.5,23,N/A,N/A,N/A,71,85,77,N/A,N/A,68,69,41,N/A,N/A,66,76,89,111,44,61,58,N/A,N/A,N/A,79,N/A,N/A,68,N/A,89,34,N/A,N/A,N/A,97,N/A,N/A,N/A,N/A,N/A,38,44,N/A,N/A
SPA Height7,79,26,NA,NA,NA,58,81,70,NA,NA,62,49,36,NA,NA,78,8,84,99,19,79,60,N/A,N/A,N/A,77,N/A,N/A,59,N/A,90,31,N/A,N/A,N/A,95,N/A,N/A,N/A,N/A,N/A,41,31,N/A,N/A
SPA Height8,86,24,N/A,N/A,N/A,64,73,88,N/A,N/A,64,59,40,N/A,N/A,71,121,77,79,6,75,52,N/A,N/A,N/A,84,N/A,N/A,64,N/A,63,36,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,41,23,N/A,N/A
SPA Height9,83,31,NA,NA,NA,71,70,72,NA,NA,72,47,21,NA,NA,74,93,112,129,40,92,60,N/A,N/A,N/A,92,N/A,N/A,72,N/A,31,38,N/A,N/A,N/A,110,N/A,N/A,N/A,N/A,N/A,33,23,N/A,N/A
SPA Height10,95,33,N/A,N/A,N/A,72,65,76,N/A,N/A,66,68,20,N/A,N/A,83,36,62,55,12,92,55,N/A,N/A,N/A,82,N/A,N/A,78,N/A,64,37,N/A,N/A,N/A,106,N/A,N/A,N/A,N/A,N/A,34,24,N/A,N/A
