SP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Bare,0,21,17,40,25,0,0,0,0,7,,,,5,0,40,30,0,3,70,40,40,65,36,30,20,8,0,2,10,10,7,2,45,68,35,18,30,75,25,5,5,7,0,5,39,4,0,5,11,0,3,43,10,21,40,26,26,52,47
% Detritus,0,16,38,38,35,0,0,0,13,25,,,,60,60,1,40,60,25,1,6,12,16,28,20,1,70,60,50,5,0,55,30,30,15,20,25,35,40,30,1,45,30,60,39,0,27,46,15,36,5,40,38,28,9,0,48,20,20,28
% Wrack,0,0,0,0,3,0,0,38,1,22,,,,0,5,0,5,0,0,1,0,3,3,0,15,0,0,0,0,30,0,0,0,3,6,10,0,0,0,3,0,0,0,15,0,2,0,0,10,4,0,12,0,0,1,16,0,5,1.5,8
SPA Density1,0,1,0,43,29,0,0,0,0,6,,,,3,3,8,28,0,2,13,23,21,15,0,11,25,0,0,28,10,30,0,0,39,6,19,1,0,27,0,12,2,0,0,0,11,0,4,12,0,22,0,0,0,41,18,24,4,37,61
SPA Density2,0,8,0,37,19,0,0,0,0,2,,,,3,9,10,12,0,2,3,26,19,16,0,6,29,0,0,15,9,16,0,0,37,4,28,0,0,0,0,3,,0,0,0,10,0,9,9,0,18,0,0,0,21,10,12,4,26,40
SPA Density3,0,5,2,48,15,0,0,0,0,9,,,,1,15,10,18,0,1,5,20,11,13,0,5,27,0,0,19,12,39,0,0,26,0,13,0,0,16,0,2,0,0,2,0,12,0,14,8,0,20,0,0,0,22,12,7,2,30,52
SPA Height1,0,38,29,25,32,0,0,0,0,40,,,,39,45,54,33,0,27,52,118,64,56,0,38,110,0,0,37,88,125,0,0,26,68,61.5,65,0,15,0,38,46,0,41,0,121,0,29,55,0,83,0,0,0,37,104,58,37,33,41
SPA Height2,0,17,23.5,26,56,0,0,0,0,29,,,,43,47,64,40,0,38,53,126,57,66,0,49,109,0,0,32,95,117,0,0,32,62,8.5,38,0,23.5,0,42,19,56,38,0,114,0,32,60,0,88,0,0,0,42,100,73,46,31,33
SPA Height3,0,42.5,20,24,44,0,0,0,0,35,,,,41,51,60,32,0,44,83,134,56,58,0,39,102,0,0,35,116,111,0,0,25,66,72,21.5,0,24.5,0,44,0,43,29,0,131,0,46,40,0,100,0,0,0,40,104,40,41,43,3
SPA Height4,0,31,46.5,27,40,0,0,0,0,51,,,,38,33,1,25,0,34,57,133,49,47,0,38,106,0,0,32,80,113,0,0,24,56,76,26.5,0,28,0,47,0,51,55,0,134,0,39,52,0,71,0,0,0,4,126,42,30,41,33
SPA Height5,0,16,45,30,32,0,0,0,0,45,,,,23,36,60,42,0,34,5,128,54,33,0,15,102,0,0,31,56,130,0,0,29,53,107.5,23,0,19,0,44,0,51,50,0,122,0,37,41,0,101,0,0,0,56,127,36,41,45,40
SPA Height6,0,25,35.5,37,41,0,0,0,0,46,,,,22,45,60,38,0,26,51,123,64,49,0,56,127,0,0,29,68,119,0,0,18,66,83,22.75,0,19.5,0,43,0,0,57,0,121,0,46,47,0,96,0,0,0,34,94,50,4,46,36
SPA Height7,0,27,29.5,42,42,0,0,0,0,58,,,,17,50,57,38,0,44,66,118,53,39,0,53,129,0,0,28,75,121,0,0,31,67,74,25,0,20,0,37,0,0,0,0,141,0,42,40,0,118,0,0,0,53,105,38,29,29,31
SPA Height8,0,18,48.5,21,40,0,0,0,0,50,,,,19,61,52,33,0,34,68,119,56,38,0,58,118,0,0,32,94,115,0,0,26,82,69,23.5,0,23,0,41,0,0,0,0,83,,2,41,0,106,0,0,0,52,111,64,45,27,27
SPA Height9,0,32,43,30,37,0,0,0,0,54,,,,29,32,59,37,0,29,47,88,55,49,0,64,108,0,0,29,61,117,0,0,22,87,79.5,13.75,0,16,0,38,0,0,0,0,138,0,35,40,0,77,0,0,0,42,106,55,46,30,35
SPA Height10,0,29,26,42,31,0,0,0,0,67,,,,25,35,63,40,0,48,60,111,47,56,0,69,110,0,0,34,90,132,0,0,18,78,67,9,0,21,0,42,0,0,0,0,118,0,30,40,0,89,0,0,0,58,115,60,38,32,40
,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61
