Transect,Quadrat,Day of Sampling,UPX,UPU,CAMA,FUHE,FUMA,AROS,PUGIO,SES,AMPH
12,3,4,0,,,,,,,,
4,3,4,0,,,,,,,,
5,3,4,3,1,,10,,,,,
6,3,4,2,,,,,,,,
11,3,4,,,,,,,,,
1,3,4,,,,,,,,,
2,3,4,,,,,,,,,1
3,3,4,,,,,,,,,
12,4,4,,,,,,,,,
4,4,4,0,,,,,,,,
5,4,4,9,,,,,,,,
6,4,4,3,,,,,,,,
12,4,4,1,,,,,,,,
4,4,4,0,,,,,,,,
5,4,4,9,,,,,,,,
6,4,4,3,,,,,,,,
8,4,3,0,,,,,,,,
10,4,3,0,,,,,,,,
12,4,3,0,,,,,,,,
1,4,3,7,1,,,,,,,
2,4,3,8,,,,,,,,
3,4,3,2,,,,,,,,
4,4,3,1,,,,,,,,
5,4,3,1,1,,,,,,,
6,4,3,8,,,,,,,,
7,4,3,0,,,,,,,,
1,4,2,2,0,,,,,,,
5,4,2,8,0,,,,,,,
6,4,2,14,0,,,,,,,
7,4,2,14,1,,,,,,,
8,4,2,8,4,,,,,,,
9,4,2,1,0,,,,,,,
12,4,2,14,,,,,,,,
11,4,2,12,,,,,,,,
10,4,2,1,,,,,,,,
1,4,2,1,,,,,,,,
2,4,2,3,,,,,,,,
3,4,2,9,,,,,,,,
12,4,1,0,,,,,,,,
11,4,1,0,,,,,,,,
10,4,1,0,,,,,,,,
9,4,1,0,,,,,,,,
8,4,1,0,,,,,,,,
7,4,1,0,,,,,,,,
6,4,1,12,,,,,,,,
5,4,1,14,,,,,,,,
4,4,1,5,,,,,,,,
3,4,1,6,1,,,,,,,
2,4,1,20,3,,,,,,,
1,4,1,18,,,,,,,,
10,4,4,,,,,,,,,
9,4,4,,,,,,,,,
8,4,4,,,,,,,,,
7,4,4,,,,,,,,,
12,4,4,1,,,,,,,,
4,4,4,0,,,,,,,,
5,4,4,9,,,,,,,,
6,4,4,3,,,,,,,,
11,4,4,,,,,,,,,
1,4,4,,,,,,,,,
2,4,4,,,,,,,,,1
3,4,4,,,,,,,,,1
