site code,site,year,transect,AMPH,UPX,PARD,MEBI,BLANT,VENZ,GRYL,HYDRO,NOFL,COLEO,CHLOR,HOG,WASP,LAS,GEFLY,CYPHON,SES,LIT,DOLI
SQ,SQ,2015,12,82,,,,,,,,,,,,,,,,,,
W,W,2015,1,67,2,,,,,,,,,,,,,,,,,
W,W,2015,2,51,3,,,,,,,,,,,,,,,,,
W,W,2015,3,41,6,,,,,,,,,,,,,,,,,
W,W,2015,4,12,2,,,,,,,,,,,,,,,,,
W,W,2015,5,10,,,,,,,,,,,,,,,,,,
W,W,2015,6,16,,,,,,,,,,,,,,,,,,
W,W,2015,7,28,1,,,,,,,,,,,,,,,,,
W,W,2015,8,51,4,,,,,,,,,,,,,,,,,
W,W,2015,9,69,,,,,,,,,,,,,,,,,,
W,W,2015,10,14,4,,,,,,,,,,,,,,,,,
W,W,2015,11,57,,,,,,,,,,,,,,,,,,
W,W,2015,12,41,4,,,,,,,,,,,,,,,,,
N,N,2014,1,11,2,2,,,,,,,,,1,,,,,,,
N,N,2014,2,13,1,,4,,1,,,,,,1,,,,,,,
N,N,2014,3,2,3,1,,,,,,,,,,,,,,,,
N,N,2014,4,4,1,,,,1,,,,,,2,,,,,,,
N,N,2014,5,14,,,5,,,,,,,,,,,,,,,
N,N,2014,6,41,,2,,,,2,,,,,,,,,,,,
N,N,2014,7,51,,,,,,,,,,,,,,,,,,
N,N,2014,8,44,,1,1,,,,,,,,,,,,,,,
N,N,2014,9,23,,,7,,,,,,,,1,,,,,,,
N,N,2014,10,12,,3,,,,1,,,,,2,,,,,,,
N,N,2014,11,34,,8,2,,,,,,,,,,,,,,,
N,N,2014,12,51,,,4,,,,,,,,,,,,,,,
EP,EP,2015,1,,,,,,,,,,,4,,1,,,,,,
EP,EP,2015,2,4,4,,,,,,,,,,,,,,,,,
EP,EP,2015,3,,6,,,,,,,,,,,,,,,,,
EP,EP,2015,4,9,1,,,,,2,,,,,,,,,,,,
EP,EP,2015,5,,,,,,,,,,,,,,,,,,,
EP,EP,2015,6,7,,,,,,,23,,,,,,3,,,,,
EP,EP,2015,7,12,1,,,,,,,,,,,,4,,,,,
EP,EP,2015,8,20,1,,,,,1,,,,,,,,1,,,,
EP,EP,2015,9,,,,,,,,,,,,,,,,1,,,
EP,EP,2015,10,,,,,61,,1,,,,,,,,,,,,
EP,EP,2015,11,48,8,,,,,,1,,,,,,,,,,,
EP,EP,2015,12,26,2,,,,,,,,,,,,,,,,,
M,M,2015,1,,,,,,,,,,,,,,,,1,,,
M,M,2015,2,,,,,,,,,,,,,,,,,,,
M,M,2015,3,,,,,,,,,,,,,,,,,1,,
M,M,2015,4,,2,,,,,,,,,,,,,,,,,
M,M,2015,5,,,,,,,,,,,,,,,,,,,
M,M,2015,6,,4,,,,,,,,,,,,,,,1,,
M,M,2015,7,,,,,,,1,,,,,,,,,,,,
M,M,2015,8,3,,,,,,,,,,,,,,,,,,
M,M,2015,9,,,,,,,,,,,,,,,,,,,
M,M,2015,10,2,,,1,,,,,,,,,,,,,,,
M,M,2015,11,,,,,,,,,,,,,,,,,,,
M,M,2015,12,,,,,,,,,,,,,,,,,,2,
GC,GC,2014,1,2,,6,,,,,,,,,,,,,,,,
GC,GC,2014,2,,,,,,,,,,,,,,,,,,,
GC,GC,2014,3,6,,4,,,,,,,,,,,,,,,,
GC,GC,2014,4,,,,,,,,,,,,,,,,,,,1
GC,GC,2014,5,2,,17,3,,,,,,,,,,,,,,,2
GC,GC,2014,6,3,,23,26,,,,,,,,,,,,,,,3
GC,GC,2014,7,3,,13,4,,,,,,,,1,,,,,,,
GC,GC,2014,8,2,,2,2,,,,,,,,,,,,,,,2
GC,GC,2014,9,,,9,,,,,,,,,2,,,,,,,
GC,GC,2014,10,2,,16,3,,,,,,,,,,,,,,,
GC,GC,2014,11,,,,,,,,,,,,,,,,,,,
GC,GC,2014,12,,,,,,,,,,,,,,,,,,,
RI,RI,2014,1,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,2,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,3,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,4,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,5,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,6,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,7,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,8,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,9,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,10,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,11,not done,,,,,,,,,,,,,,,,,,
RI,RI,2014,12,not done,,,,,,,,,,,,,,,,,,
