Date started,Date finished,Recorder (initials),sample code,site,Transect,Quadrat,Square #,Species,Count,notes,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F6,Prokelisia sp,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F6,Mycetophilidae ,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F6,Orobatid mite,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A4,pyrrhocoridae sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A4,Dohrniphora sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A4,Prokelisia sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B3,Dohrniphora sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B3,Orobatid mite,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F3,Orobatid mite,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F3,Prokelisia sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F3,Mycetophilidae ,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F3,callitula sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F4,Dohrniphora sp,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F4,Reduviidae,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F4,Mycetophilidae ,5,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,B3,hemiptera nymph,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,B3,Amphipoda,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,B3,Sminthuridae,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,B3,Orabatis hemelius,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A1,callitula sp,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A1,Mycetophilidae ,6,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A1,Sminthuridae,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A1,Trombid mite,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A1,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A1,Reduviidae,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D3,Mycetophilidae ,7,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D3,Dohrniphora sp,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D3,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D3,Reduviidae,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,Intercella sp.,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,hemiptera nymph,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,Orobatid mite,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,Mycetophilidae ,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C5,Mycetophilidae ,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C5,Trombid mite,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C5,Sminthuridae,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A3,Reduviidae,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A3,Intercella sp.,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A3,Mycetophilidae ,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A3,Orabatis hemelius,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A3,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D5,Dohrniphora sp,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D5,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,Intercella sp.,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,Sminthuridae,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E6,Amphipoda,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F3,Mycetophilidae ,7,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F3,Orabatis hemelius,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,B2,Mycetophilidae ,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C6,Reduviidae,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C6,Intercella sp.,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C6,hemiptera nymph,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D2,Dohrniphora sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D2,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D2,Mycetophilidae ,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A5,callitula sp,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A5,Intercella sp.,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A2,Orabatis hemelius,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A2,Intercella sp.,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A2,Mycetophilidae ,5,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,A2,Dohrniphora sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E3,hemiptera nymph,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E3,Mycetophilidae ,3,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,E3,Reduviidae,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F2,Mycetophilidae ,6,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F6,Orabatis hemelius,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F6,Mycetophilidae ,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F6,hemiptera nymph,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,F6,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C1,Amphipoda,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C1,Intercella sp.,2,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,C1,Clubonia sp,1,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D1,Mycetophilidae ,4,,,,
1/19/16,1/19/16,SS,EPT7Q3,EP,7,3,D1,hemiptera nymph,1,,,,
,,,,,,,,,,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Clubonia sp,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Grammonota trivitatta,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Trombid mite,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Conocephalus spartinae,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Enallagma,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Delphacodes,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Intercella sp.,10,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Dohrniphora sp,5,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A1,Pseudoscorpiones,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A2,Pseudoscorpiones,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A2,Clubonia sp,3,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A2,Delphacodes,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A2,Intercella sp.,3,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A2,Dohrniphora sp,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,Orobatid mite,4,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,Clubonia sp,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,Delphacodes,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,Pseudoscorpiones,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,Sminthuridae,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,Chaetopsis sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A3,callitula sp,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A4,Amphipoda,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A4,Orobatid mite,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A5,Delphacodes,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A5,Orobatid mite,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,A6,Orobatid mite,3,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B1,Intercella sp.,7,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B1,Collembola,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B2,Grammonota trivitatta,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B2,Delphacodes,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B2,Orobatid mite,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B2,Larvae Elmidae beetle,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B3,Sminthuridae,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B4,Sminthuridae,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B5,Orobatid mite,2,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,B6,Intercella sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,C1,Sminthuridae,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,C1,Chaetopsis sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,C1,Paraclius sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,C2,Paraclius sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,C3,Delphacodes,4,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,D1,Dohrniphora sp,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,E3,Amphipoda,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F1,Orobatid mite,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F3,Chaetopsis sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F3,Paraclius sp.,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F3,Delphacodes,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F4,Delphacodes,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F5,Delphacodes,1,,,,
2/26/16,3/2/16,LN,NT12Q1,N,12,1,F6,Orobatid mite,1,,,,
,,,,,,,,,,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A1,callitula sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A2,callitula sp,3,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A2,Cecidomyidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A2,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A3,callitula sp,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A3,Cecidomyidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A4,Paraclius sp.,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A5,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A6,Erythrid mite,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A6,Acrodactyla sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,A6,Prokelisia sp,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B1,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B2,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B3,Littorina littorea,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B3,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B4,Littorina littorea,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B4,Orobatid mite,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B5,Littorina littorea,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B5,Orobatid mite,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B5,Erythrid mite,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B5,Cecidomyidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,B6,Anurida maritima,3,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C1,Orobatid mite,3,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C2,Orobatid mite,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C3,Anurida maritima,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C3,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C4,Littorina littorea,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C4,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C5,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C5,Anurida maritima,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C5,Prokelisia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C5,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C6,Anurida maritima,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C6,Prokelisia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C6,Pentatomidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,C6,Chloropidae,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D1,Dohrniphora sp,3,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D3,Pentatomidae,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D3,Prokelisia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D4,Littorina littorea,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D4,Orobatid mite,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D4,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,D5,Erythrid mite,4,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E1,Littorina littorea,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E1,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E1,Pentatomidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E2,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E2,Orobatid mite,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E2,Pentatomidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E2,Anurida maritima,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E3,Pentatomidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E4,Erythrid mite,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E6,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E6,Chloropidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,E6,Erythrid mite,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F1,Anurida maritima,3,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F1,Littorina littorea,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F1,Acrodactyla sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F1,Hyposinga variabilis,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F2,Erythrid mite,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F2,Clubonia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F2,Pentatomidae,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F2,Prokelisia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F3,Orobatid mite,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F3,Prokelisia sp,1,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F5,Orobatid mite,2,,,,
3/8/16,3/8/16,MD,NT12Q1,N,12,1,F6,Pentatomidae,1,,,,
,,,,,,,,,,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,Pardosa sp.,2,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,Chloropidae,2,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,Amphipoda,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,callitula sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,Trigonotylus sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,Anurida maritima,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A2,Orobatid mite,2,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A4,Clubonia sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A4,Erythrid mite,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A6,Dohrniphora sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A6,Blue Larva?,4,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A6,Paraclius sp.,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A6,Dohrniphora sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A6,Grammonota trivitatta,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,A6,juvenile spider,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Pardosa sp.,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Marpissa sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Grammonota trivitatta,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Clubonia sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Paraclius sp.,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Anurida maritima,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Paraclius sp.,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Hydrophilidae larvae,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B1,Orobatid mite,2,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Hydrophilidae larvae,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Pseudoscorpiones,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Reduviidae,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Orobatid mite,5,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Acrodactyla sp,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Delphacodes,3,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Dohrniphora sp,2,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Grammonota trivitatta,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,B3,Amphipoda,1,,,,
3/8/16,3/22/16,WZ,NT1Q1,N,1,1,,,,,,,
,,,,,,,,,,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D4,Chloropidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D4,Paraclius sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D4,Cecidomyidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,B5,Cecidomyidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,B5,Paraclius sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,B5,Linyphidae,2,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,C6,Pardosa sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,C6,Paraclius sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,C6,Prokelisia sp,2,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,C6,Delphacodes,3,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,C6,callitula sp,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D6,Clubonia sp,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D6,Cecidomyidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D6,Paraclius sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D3,Amphipoda,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D3,Prokelisia sp,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D3,Lenaphid spider,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D3,Clubonia sp,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,D3,Megamealus sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E2,Prokelisia sp,3,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E2,Delphacodes,2,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E2,Paraclius sp.,2,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E2,Cecidomyidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Grammonota trivitatta,2,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Clubonia sp,2,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Dohrniphora sp,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Intercella sp.,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Cecidomyidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Grammonota trivitatta,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,E6,Chloropidae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,A1,Columbola sminthuriadae,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,A1,Venzilla parvus,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,A1,hemiptera nymph,1,,,,
3/11/16,3/29/16,FH,NT9Q1,N,9,1,B2,callitula sp,1,,,,
